Address	"Length (dec)"	"Length (hex)"	Description	Value
00000000	73	49	"block 1"	48010280343635415459303531384830
00000002	2	02	"Pointer to CP start"	0280
0000001E	4	04	"Internal Version"	0C022400
00000022	1	01	"Model type"	02
00000025	2	02	"pointer to block 2"	004A
00000027	2	02	"pointer to block 7"	0064
00000029	2	02	"pointer to 08"	0076
0000002D	2	02	"Pointer to Block 10"	0200
0000002F	2	02	"pointer to 15"	00DC
00000031	2	02	"Pointer to 0F"	00FC
00000033	2	02	"Pointer to 04"	012A
00000035	2	02	"pointer to 11 ""BUTTON/SWITCH A/D"""	0137
00000037	2	02	"Pointer to 11"	0141
00000039	2	02	"Pointer to 0D ""MDC TIMING/HW CONFIG"""	014D
0000003B	2	02	"pointer to 05 : ""SECURE DEVIATION"","	0158
0000004A	25	19	"02 : ""CONFIGURATION"""	18020C0400FF00FF000005070F081864
0000004C	1	01	"Base offset"	0C
0000004D	1	01	"Freq Band"	04
00000064	17	11	"07 : ""TX POWER/DEV SOFT POT"""	100764701E4040400306060C2B00456E
00000076	17	11	"08 : ""POINTER TO SQUELCH SOFT POTS"""	1008070088009400A000AC00B800C400
00000079	2	02	"Pointer to 09 Squelch Pot"	0088
00000088	11	0B	"09 : ""SQUELCH SOFT POTS"""	0A0915E03D337932323232
000000DC	31	1F	"15 - BBRIC"	1E150040000000000000000000000000
000000FC	45	2D	"0F - FRAC-N SYNTHESIZER"	2C0F00000058210CFFFF09FFFF003A34
0000012A	12	0C	"04 : ""CONVENTIONAL HARDWARE CONFIG"	0B0432150004080C10142856
00000137	9	09	"11 : ""BUTTON/SWITCH A/D"","	0811020210047FFFFF
00000141	11	0B	"11 - block"	0A11040055568B8CADAEDB
0000014D	10	0A	"0D : ""MDC TIMING/HW CONFIG"""	090D00AAAAAAAA000000
00000158	9	09	"05 : ""SECURE DEVIATION"","	0805003443111E001D
00000200	35	23	"10 - Unknown Block"	2210191732597FF1B53CFBEBB9F20000
00000280	86	56	"Block 30 external"	55308200343635415459303531384830
0000029E	3	03	"Prog date YYMMDD"	200509
000002A1	2	02	"prog time HHMM"	2225
000002A3	1	01	progSRC	03
000002A5	1	01	"cp ver"	48
000002A6	2	02	"cp length"	1021
000002A8	2	02	"Pointer to Radio Wide options"	02D7
000002AA	2	02	"Pointer to signaling pointer"	0313
000002AC	2	02	"pointer to block 36"	0936
000002AE	2	02	"pointer to conv-trunk per pointer"	09EC
000002B0	2	02	"54 : ""ZONE POINTER TO PERSONALITY #"","	0BCB
